,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Year,Home_rank,Away_rank
36100,2014-06-22,United States,Portugal,2,2,FIFA World Cup,Manaus,Brazil,True,2014,[],[5]
36101,2014-06-23,Australia,Spain,0,3,FIFA World Cup,Curitiba,Brazil,True,2014,[],[1]
36102,2014-06-23,Brazil,Cameroon,4,1,FIFA World Cup,Brasília,Brazil,False,2014,[10],[50]
36103,2014-06-23,Croatia,Mexico,1,3,FIFA World Cup,Recife,Brazil,True,2014,[16],[21]
36104,2014-06-23,Netherlands,Chile,2,0,FIFA World Cup,São Paulo,Brazil,True,2014,[9],[15]
36105,2014-06-24,Costa Rica,England,0,0,FIFA World Cup,Belo Horizonte,Brazil,True,2014,[32],[13]
36106,2014-06-24,Greece,Ivory Coast,2,1,FIFA World Cup,Fortaleza,Brazil,True,2014,[12],[]
36107,2014-06-24,Italy,Uruguay,0,1,FIFA World Cup,Natal,Brazil,True,2014,[7],[6]
36108,2014-06-24,Japan,Colombia,1,4,FIFA World Cup,Cuiabá,Brazil,True,2014,[48],[4]
36109,2014-06-25,Bosnia and Herzegovina,Iran,3,1,FIFA World Cup,Salvador,Brazil,True,2014,[19],[]
36110,2014-06-25,Ecuador,France,0,0,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[23],[20]
36111,2014-06-25,Honduras,Switzerland,0,3,FIFA World Cup,Manaus,Brazil,True,2014,[43],[8]
36112,2014-06-25,Indonesia,Nepal,2,0,Friendly,Malang,Indonesia,False,2014,[161 158],[]
36113,2014-06-25,Nigeria,Argentina,2,3,FIFA World Cup,Porto Alegre,Brazil,True,2014,[41],[3]
36114,2014-06-26,Algeria,Russia,1,1,FIFA World Cup,Curitiba,Brazil,True,2014,[27],[22]
36115,2014-06-26,South Korea,Belgium,0,1,FIFA World Cup,São Paulo,Brazil,True,2014,[],[11]
36116,2014-06-26,Portugal,Ghana,2,1,FIFA World Cup,Brasília,Brazil,True,2014,[5],[24]
36117,2014-06-26,United States,Germany,0,1,FIFA World Cup,Recife,Brazil,True,2014,[],[2]
36118,2014-06-28,Brazil,Chile,1,1,FIFA World Cup,Belo Horizonte,Brazil,False,2014,[10],[15]
36119,2014-06-28,Colombia,Uruguay,2,0,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[4],[6]
36120,2014-06-29,China PR,Mali,1,3,Friendly,Shenzhen,China PR,False,2014,[92],[40]
36121,2014-06-29,Costa Rica,Greece,1,1,FIFA World Cup,Recife,Brazil,True,2014,[32],[12]
36122,2014-06-29,Netherlands,Mexico,2,1,FIFA World Cup,Fortaleza,Brazil,True,2014,[9],[21]
36123,2014-06-30,France,Nigeria,2,0,FIFA World Cup,Brasília,Brazil,True,2014,[20],[41]
36124,2014-06-30,Germany,Algeria,2,1,FIFA World Cup,Porto Alegre,Brazil,True,2014,[2],[27]
36125,2014-07-01,Argentina,Switzerland,1,0,FIFA World Cup,São Paulo,Brazil,True,2014,[3],[8]
36126,2014-07-01,Belgium,United States,2,1,FIFA World Cup,Salvador,Brazil,True,2014,[11],[]
36127,2014-07-02,Vietnam,Burma,6,0,Friendly,Thủ Dầu Một,Vietnam,False,2014,[143],[]
36128,2014-07-04,Brazil,Colombia,2,1,FIFA World Cup,Fortaleza,Brazil,False,2014,[10],[4]
36129,2014-07-04,France,Germany,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[20],[2]
36130,2014-07-05,Argentina,Belgium,1,0,FIFA World Cup,Brasília,Brazil,True,2014,[3],[11]
36131,2014-07-05,Netherlands,Costa Rica,0,0,FIFA World Cup,Salvador,Brazil,True,2014,[9],[32]
36132,2014-07-06,Malawi,Mozambique,1,1,Friendly,Lilongwe,Malawi,False,2014,[117],[120]
36133,2014-07-08,Brazil,Germany,1,7,FIFA World Cup,Belo Horizonte,Brazil,False,2014,[10],[2]
36134,2014-07-09,Netherlands,Argentina,0,0,FIFA World Cup,São Paulo,Brazil,True,2014,[9],[3]
36135,2014-07-11,Uganda,Seychelles,1,0,Friendly,Kampala,Uganda,False,2014,[87],[176]
36136,2014-07-12,Brazil,Netherlands,0,3,FIFA World Cup,Brasília,Brazil,False,2014,[10],[9]
36137,2014-07-12,Rwanda,Gabon,1,0,Friendly,Kigali,Rwanda,False,2014,[],[]
36138,2014-07-13,Germany,Argentina,1,0,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[2],[3]
36139,2014-07-14,Botswana,Lesotho,2,0,Friendly,Gaborone,Botswana,False,2014,[97],[138 139]
36140,2014-07-14,Qatar,Indonesia,2,2,Friendly,al-Wakrah,Qatar,False,2014,[101],[161 158]
36141,2014-07-15,Kenya,Burundi,0,0,Friendly,Nairobi,Kenya,False,2014,[109],[124]
36142,2014-07-15,Uganda,Malawi,0,0,Friendly,Kampala,Uganda,False,2014,[87],[117]
36143,2014-07-19,Botswana,Guinea-Bissau,2,0,African Cup of Nations qualification,Gaborone,Botswana,False,2014,[97],[184]
36144,2014-07-19,Sierra Leone,Seychelles,2,0,African Cup of Nations qualification,Freetown,Sierra Leone,False,2014,[76],[176]
36145,2014-07-19,Uganda,Mauritania,2,0,African Cup of Nations qualification,Kampala,Uganda,False,2014,[87],[145]
36146,2014-07-20,Benin,Malawi,1,0,African Cup of Nations qualification,Cotonou,Benin,False,2014,[99],[117]
36147,2014-07-20,Congo,Rwanda,2,0,African Cup of Nations qualification,Pointe-Noire,Congo,False,2014,[85 86],[]
36148,2014-07-20,Lesotho,Kenya,1,0,African Cup of Nations qualification,Maseru,Lesotho,False,2014,[138 139],[109]
36149,2014-07-20,Tanzania,Mozambique,2,2,African Cup of Nations qualification,Dar es Salaam,Tanzania,False,2014,[118],[120]
36150,2014-07-21,Guam,Macau,0,0,EAFF Championship,Dededo,Guam,False,2014,[162 173],[]
36151,2014-07-21,Mongolia,Northern Mariana Islands,4,0,EAFF Championship,Dededo,Guam,True,2014,[181],[]
36152,2014-07-23,Guam,Mongolia,2,0,EAFF Championship,Dededo,Guam,False,2014,[162 173],[181]
36153,2014-07-23,Northern Mariana Islands,Macau,2,1,EAFF Championship,Dededo,Guam,True,2014,[],[]
36154,2014-07-25,Guam,Northern Mariana Islands,5,0,EAFF Championship,Dededo,Guam,False,2014,[162 173],[]
36155,2014-07-25,Macau,Mongolia,3,2,EAFF Championship,Dededo,Guam,True,2014,[],[181]
36156,2014-07-27,Gabon,Rwanda,0,1,Friendly,Libreville,Gabon,False,2014,[],[]
36157,2014-08-02,Guinea-Bissau,Botswana,1,1,African Cup of Nations qualification,Bissau,Guinea-Bissau,False,2014,[184],[97]
36158,2014-08-02,Malawi,Benin,1,0,African Cup of Nations qualification,Blantyre,Malawi,False,2014,[117],[99]
36159,2014-08-02,Rwanda,Congo,2,0,African Cup of Nations qualification,Kigali,Rwanda,False,2014,[],[85 86]
36160,2014-08-03,Kenya,Lesotho,0,0,African Cup of Nations qualification,Nairobi,Kenya,False,2014,[109],[138 139]
36161,2014-08-03,Mauritania,Uganda,0,1,African Cup of Nations qualification,Nouakchott,Mauritania,False,2014,[145],[87]
36162,2014-08-03,Mozambique,Tanzania,2,1,African Cup of Nations qualification,Maputo,Mozambique,False,2014,[120],[118]
36163,2014-08-08,Tajikistan,Malaysia,4,1,Friendly,Dushanbe,Tajikistan,False,2014,[113],[154]
36164,2014-08-12,Kazakhstan,Tajikistan,2,1,Friendly,Almaty,Kazakhstan,False,2014,[128],[113]
36165,2014-08-13,Angola,Botswana,0,0,Friendly,Luanda,Angola,False,2014,[89],[97]
36166,2014-08-14,Guatemala,Nicaragua,3,0,Friendly,Antigua Guatemala,Guatemala,False,2014,[112 126],[159]
36167,2014-08-16,British Virgin Islands,Saint Martin,2,4,Friendly,Road Town,British Virgin Islands,False,2014,[196 197],[]
36168,2014-08-20,Azerbaijan,Uzbekistan,0,0,Friendly,Baku,Azerbaijan,False,2014,[94],[65 57]
36169,2014-08-20,Panama,Cuba,4,0,Friendly,Panama City,Panama,False,2014,[36],[100  98]
36170,2014-08-23,Guatemala,Cuba,1,0,Friendly,Guatemala,Guatemala,False,2014,[112 126],[100  98]
36171,2014-08-24,French Guiana,Suriname,0,1,Friendly,Saint-Laurent-du-Maroni,French Guiana,False,2014,[],[132]
36172,2014-08-26,Seychelles,Sri Lanka,1,2,Friendly,Victoria,Seychelles,False,2014,[176],[169 171]
36173,2014-08-26,Saint Lucia,Martinique,0,2,Friendly,Gros Islet,Saint Lucia,False,2014,[],[]
36174,2014-08-27,Norway,United Arab Emirates,0,0,Friendly,Stavanger,Norway,False,2014,[59],[]
36175,2014-08-28,Seychelles,Sri Lanka,3,0,Friendly,Victoria,Seychelles,False,2014,[176],[169 171]
36176,2014-08-28,Saint Lucia,Martinique,0,1,Friendly,Gros Islet,Saint Lucia,False,2014,[],[]
36177,2014-08-30,Egypt,Kenya,1,0,Friendly,Aswan,Egypt,False,2014,[31],[109]
36178,2014-08-30,El Salvador,Dominican Republic,2,0,Friendly,San Salvador,El Salvador,False,2014,[88],[114]
36179,2014-08-31,Zambia,Sudan,3,1,Friendly,Lusaka,Zambia,False,2014,[75],[119]
36180,2014-09-02,Niger,Uganda,2,0,Friendly,Niamey,Niger,False,2014,[104],[87]
36181,2014-09-03,Burma,Palestine,4,1,Friendly,Manila,Philippines,True,2014,[],[142]
36182,2014-09-03,Costa Rica,Nicaragua,3,0,UNCAF Cup,Washington,United States,True,2014,[32],[159]
36183,2014-09-03,Czech Republic,United States,0,1,Friendly,Prague,Czech Republic,False,2014,[28],[]
36184,2014-09-03,Denmark,Turkey,1,2,Friendly,Odense,Denmark,False,2014,[25],[45]
36185,2014-09-03,England,Norway,1,0,Friendly,London,England,False,2014,[13],[59]
36186,2014-09-03,Germany,Argentina,2,4,Friendly,Düsseldorf,Germany,False,2014,[2],[3]
36187,2014-09-03,Grenada,French Guiana,1,1,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,True,2014,[134],[]
36188,2014-09-03,Guyana,Dominica,0,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,2014,[151],[]
36189,2014-09-03,Republic of Ireland,Oman,2,0,Friendly,Dublin,Republic of Ireland,False,2014,[67],[79 80]
36190,2014-09-03,Latvia,Armenia,2,0,Friendly,Riga,Latvia,False,2014,[116],[38]
36191,2014-09-03,Lithuania,United Arab Emirates,1,1,Friendly,Matrei in Osttirol,Austria,True,2014,[103],[]
36192,2014-09-03,Morocco,Qatar,0,0,Friendly,Rabat,Morocco,False,2014,[74],[101]
36193,2014-09-03,Philippines,Chinese Taipei,5,1,Friendly,Manila,Philippines,False,2014,[127],[167]
36194,2014-09-03,Puerto Rico,Curaçao,2,2,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,False,2014,[157],[178]
36195,2014-09-03,Russia,Azerbaijan,4,0,Friendly,Khimki,Russia,False,2014,[22],[94]
36196,2014-09-03,Ukraine,Moldova,1,0,Friendly,Kyïv,Ukraine,False,2014,[18],[96]
36197,2014-09-04,Belarus,Tajikistan,6,1,Friendly,Barysaw,Belarus,False,2014,[83 82],[113]
